Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,25.690001,25.870001,25.270000,25.650000,22.054401,714500
2017-09-01,25.680000,26.340000,25.370001,26.290001,22.676466,400800
2017-10-01,26.260000,26.850000,26.260000,26.799999,23.188465,715400
2017-11-01,26.870001,27.030001,26.370001,27.010000,23.437988,451700
2017-12-01,26.980000,27.100000,26.690001,27.000000,23.496595,413300
2018-01-01,27.020000,27.150000,26.150000,26.250000,22.909418,1211600
2018-02-01,26.200001,26.200001,24.660000,25.500000,22.317522,720300
2018-03-01,25.430000,25.620001,24.620001,24.950001,21.900225,495400
2018-04-01,24.940001,25.440001,24.410000,25.200001,22.185724,511900
2018-05-01,25.200001,25.910000,25.100000,25.570000,22.595221,713900
2018-06-01,25.590000,26.379999,25.580000,25.980000,23.041666,632300
2018-07-01,25.980000,26.450001,25.930000,26.360001,23.462416,319900
2018-08-01,26.610001,27.150000,26.459999,26.629999,23.801722,457400
2018-09-01,26.610001,26.610001,26.110001,26.110001,23.431900,376300
2018-10-01,26.240000,26.280001,24.549999,25.020000,22.546299,653600
2018-11-01,25.049999,25.600000,24.680000,25.090000,22.690870,558800
2018-12-01,25.280001,25.280001,22.750000,23.639999,21.457104,988100
2019-01-01,23.510000,25.440001,23.430000,25.440001,23.187597,1020100
2019-02-01,25.440001,26.190001,25.350000,26.070000,23.850746,593800
2019-03-01,26.129999,26.459999,25.950001,26.299999,24.148405,473500
2019-04-01,26.389999,26.850000,26.360001,26.610001,24.520853,334400
2019-05-01,26.600000,26.639999,25.980000,26.100000,24.132027,342500
2019-06-01,26.160000,26.910000,26.030001,26.459999,24.548727,215700
2019-07-01,26.379999,27.120001,26.379999,26.870001,25.012894,351500
2019-08-01,26.879999,27.080000,26.389999,26.980000,25.211071,363400
2019-09-01,26.870001,27.809999,26.850000,27.610001,25.900362,266400
2019-10-01,27.639999,27.650000,26.930000,27.150000,25.563698,332200
2019-11-01,27.280001,28.400000,27.260000,28.309999,26.744871,252800
2019-12-01,28.330000,28.830000,27.980000,28.570000,27.076424,279200
2020-01-01,28.610001,29.590000,28.400000,29.110001,27.674709,508600
2020-02-01,29.110001,30.219999,26.660000,27.180000,25.922665,590000
2020-03-01,27.120001,28.000000,16.290001,20.250000,19.374094,2047300
2020-04-01,19.530001,22.570000,19.150000,22.000000,21.159018,1398700
2020-05-01,21.580000,22.330000,20.100000,22.110001,21.371618,1099000
2020-06-01,22.059999,23.650000,21.910000,22.510000,21.864368,1104000
2020-07-01,22.629999,23.559999,22.040001,23.370001,22.803856,691800
2020-08-01,23.469999,24.480000,23.430000,23.950001,23.445108,753500
2020-09-01,23.940001,24.420000,23.410000,23.959999,23.526098,420400
2020-10-01,24.020000,24.790001,23.280001,23.440001,23.087942,666300
2020-11-01,23.600000,26.389999,23.580000,26.100000,25.792070,839000
2020-12-01,26.309999,26.799999,26.049999,26.510000,26.278498,716800
2021-01-01,26.629999,27.510000,26.320000,26.650000,26.496874,922900
2021-02-01,26.809999,27.930000,26.770000,27.590000,27.511114,693500
2021-03-01,27.799999,29.270000,27.719999,29.270000,29.270000,351700
2021-03-15,29.309999,29.330000,29.170000,29.330000,29.330000,14001
